onset	duration	Condition Name
27.089	1	Deviant 8.0
41.347	1	Deviant 5.0
51.327	1	Catch - Catch
59.882	1	Deviant 3.0
72.713	1	Deviant 8.0
81.268	1	Deviant 6.0
95.526	1	Catch - Catch
106.932	1	Deviant 9.0
119.764	1	Deviant 12.0
129.744	1	Catch - Catch
139.724	1	Deviant 6.0
151.13	1	Deviant 5.0
159.685	1	Deviant 4.0
173.942	1	Catch - Catch
186.774	1	Deviant 9.0
198.18	1	Deviant 4.0
208.161	1	Catch - Catch
216.715	1	Deviant 3.0
230.973	1	Deviant 6.0
243.805	1	Deviant 8.0
258.062	1	Catch - Catch
266.617	1	Deviant 9.0
279.449	1	Deviant 5.0
290.855	1	Deviant 4.0
300.835	1	Catch - Catch
309.39	1	Deviant 6.0
319.37	1	Deviant 12.0
332.202	1	Catch - Catch
343.608	1	Deviant 12.0
357.865	1	Deviant 3.0
