onset	duration	Condition Name
29.941	1	Deviant 8.0
39.922	1	Deviant 5.0
52.754	1	Catch - Catch
61.308	1	Deviant 3.0
72.714	1	Deviant 8.0
82.695	1	Deviant 6.0
91.249	1	Catch - Catch
104.081	1	Deviant 9.0
118.339	1	Deviant 12.0
129.745	1	Catch - Catch
139.725	1	Deviant 6.0
148.279	1	Deviant 5.0
161.111	1	Deviant 4.0
175.369	1	Catch - Catch
186.775	1	Deviant 9.0
196.755	1	Deviant 4.0
208.161	1	Catch - Catch
222.419	1	Deviant 3.0
235.251	1	Deviant 6.0
243.805	1	Deviant 8.0
256.637	1	Catch - Catch
268.043	1	Deviant 9.0
282.301	1	Deviant 5.0
290.855	1	Deviant 4.0
300.836	1	Catch - Catch
310.816	1	Deviant 6.0
323.648	1	Deviant 12.0
332.203	1	Catch - Catch
343.609	1	Deviant 12.0
357.866	1	Deviant 3.0
