onset	duration	Condition Name
29.941	1	Deviant 3.0
38.495	1	Catch - Catch
48.476	1	Deviant 9.0
59.882	1	Deviant 5.0
72.714	1	Catch - Catch
85.545	1	Deviant 3.0
94.1	1	Deviant 12.0
105.506	1	Catch - Catch
119.764	1	Deviant 4.0
129.744	1	Deviant 6.0
144.002	1	Deviant 12.0
153.982	1	Catch - Catch
162.537	1	Deviant 9.0
175.368	1	Deviant 6.0
186.774	1	Deviant 8.0
199.606	1	Deviant 3.0
208.161	1	Deviant 4.0
219.567	1	Catch - Catch
233.825	1	Deviant 5.0
243.805	1	Deviant 12.0
252.359	1	Catch - Catch
266.617	1	Deviant 8.0
279.449	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
323.647	1	Deviant 9.0
333.628	1	Deviant 6.0
345.034	1	Deviant 4.0
357.882	1	Catch - Catch
