onset	duration	Condition Name
24.271	1	Deviant 8.0
38.528	1	Deviant 5.0
51.36	1	Catch - Catch
61.34	1	Deviant 3.0
72.746	1	Deviant 8.0
85.578	1	Deviant 6.0
96.984	1	Catch - Catch
105.539	1	Deviant 9.0
119.797	1	Deviant 12.0
129.777	1	Catch - Catch
142.609	1	Deviant 6.0
156.866	1	Deviant 5.0
168.272	1	Deviant 4.0
176.827	1	Catch - Catch
186.807	1	Deviant 9.0
199.639	1	Deviant 4.0
211.045	1	Catch - Catch
219.6	1	Deviant 3.0
229.58	1	Deviant 6.0
243.838	1	Deviant 8.0
256.67	1	Catch - Catch
268.076	1	Deviant 9.0
278.056	1	Deviant 5.0
292.314	1	Deviant 4.0
300.868	1	Catch - Catch
310.848	1	Deviant 6.0
323.68	1	Deviant 12.0
337.938	1	Catch - Catch
346.492	1	Deviant 12.0
357.899	1	Deviant 3.0
