onset	duration	Condition Name
27.089	1	Deviant 3.0
35.644	1	Catch - Catch
45.624	1	Deviant 9.0
59.882	1	Deviant 5.0
72.714	1	Catch - Catch
81.268	1	Deviant 3.0
91.249	1	Deviant 12.0
102.655	1	Catch - Catch
116.912	1	Deviant 4.0
129.744	1	Deviant 6.0
141.15	1	Deviant 12.0
153.982	1	Catch - Catch
163.962	1	Deviant 9.0
172.517	1	Deviant 6.0
186.775	1	Deviant 8.0
196.755	1	Deviant 3.0
205.309	1	Deviant 4.0
218.141	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
262.34	1	Deviant 8.0
276.598	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
313.667	1	Catch - Catch
327.925	1	Deviant 9.0
336.479	1	Deviant 6.0
346.46	1	Deviant 4.0
357.866	1	Catch - Catch
