onset	duration	Condition Name
27.09	1	Deviant 8.0
35.644	1	Deviant 5.0
48.476	1	Catch - Catch
58.457	1	Deviant 3.0
72.714	1	Deviant 8.0
81.269	1	Deviant 6.0
91.249	1	Catch - Catch
105.507	1	Deviant 9.0
116.913	1	Deviant 12.0
129.745	1	Catch - Catch
144.002	1	Deviant 6.0
156.834	1	Deviant 5.0
165.389	1	Deviant 4.0
175.369	1	Catch - Catch
186.775	1	Deviant 9.0
196.755	1	Deviant 4.0
211.013	1	Catch - Catch
219.568	1	Deviant 3.0
232.399	1	Deviant 6.0
243.805	1	Deviant 8.0
258.063	1	Catch - Catch
270.895	1	Deviant 9.0
279.449	1	Deviant 5.0
290.856	1	Deviant 4.0
300.836	1	Catch - Catch
313.668	1	Deviant 6.0
322.222	1	Deviant 12.0
336.48	1	Catch - Catch
346.46	1	Deviant 12.0
357.866	1	Deviant 3.0
