onset	duration	Condition Name
29.941	1	Deviant 8.0
39.921	1	Deviant 5.0
51.328	1	Catch - Catch
59.882	1	Deviant 3.0
72.714	1	Deviant 8.0
85.546	1	Deviant 6.0
99.804	1	Catch - Catch
108.359	1	Deviant 9.0
118.339	1	Deviant 12.0
129.745	1	Catch - Catch
144.003	1	Deviant 6.0
152.557	1	Deviant 5.0
165.389	1	Deviant 4.0
175.37	1	Catch - Catch
186.776	1	Deviant 9.0
198.182	1	Deviant 4.0
211.014	1	Catch - Catch
225.272	1	Deviant 3.0
235.252	1	Deviant 6.0
243.807	1	Deviant 8.0
252.361	1	Catch - Catch
266.619	1	Deviant 9.0
276.6	1	Deviant 5.0
288.006	1	Deviant 4.0
300.838	1	Catch - Catch
312.244	1	Deviant 6.0
320.799	1	Deviant 12.0
335.056	1	Catch - Catch
347.888	1	Deviant 12.0
357.869	1	Deviant 3.0
