onset	duration	Condition Name
29.941	1	Deviant 8.0
41.347	1	Deviant 5.0
49.901	1	Catch - Catch
59.881	1	Deviant 3.0
72.713	1	Deviant 8.0
86.971	1	Deviant 6.0
95.525	1	Catch - Catch
108.357	1	Deviant 9.0
118.337	1	Deviant 12.0
129.743	1	Catch - Catch
144.001	1	Deviant 6.0
155.407	1	Deviant 5.0
168.238	1	Deviant 4.0
178.219	1	Catch - Catch
186.773	1	Deviant 9.0
198.179	1	Deviant 4.0
208.159	1	Catch - Catch
216.714	1	Deviant 3.0
230.971	1	Deviant 6.0
243.803	1	Deviant 8.0
252.357	1	Catch - Catch
265.189	1	Deviant 9.0
275.169	1	Deviant 5.0
289.427	1	Deviant 4.0
300.833	1	Catch - Catch
309.387	1	Deviant 6.0
320.793	1	Deviant 12.0
335.051	1	Catch - Catch
345.031	1	Deviant 12.0
357.863	1	Deviant 3.0
