onset	duration	Condition Name
29.941	1	Deviant 3.0
41.347	1	Catch - Catch
51.327	1	Deviant 9.0
59.882	1	Deviant 5.0
72.713	1	Catch - Catch
84.119	1	Deviant 3.0
94.1	1	Deviant 12.0
108.357	1	Catch - Catch
116.912	1	Deviant 4.0
129.744	1	Deviant 6.0
144.001	1	Deviant 12.0
155.407	1	Catch - Catch
165.388	1	Deviant 9.0
173.942	1	Deviant 6.0
186.774	1	Deviant 8.0
195.329	1	Deviant 3.0
205.309	1	Deviant 4.0
218.141	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
255.211	1	Catch - Catch
265.191	1	Deviant 8.0
273.746	1	Deviant 6.0
286.577	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
323.647	1	Deviant 9.0
336.479	1	Deviant 6.0
346.459	1	Deviant 4.0
357.865	1	Catch - Catch
