onset	duration	Condition Name
24.238	1	Deviant 3.0
34.218	1	Catch - Catch
47.05	1	Deviant 9.0
61.308	1	Deviant 5.0
72.714	1	Catch - Catch
84.12	1	Deviant 3.0
94.101	1	Deviant 12.0
108.358	1	Catch - Catch
116.913	1	Deviant 4.0
129.745	1	Deviant 6.0
142.577	1	Deviant 12.0
152.557	1	Catch - Catch
163.963	1	Deviant 9.0
172.518	1	Deviant 6.0
186.776	1	Deviant 8.0
195.33	1	Deviant 3.0
206.737	1	Deviant 4.0
219.569	1	Catch - Catch
229.549	1	Deviant 5.0
243.807	1	Deviant 12.0
253.787	1	Catch - Catch
266.619	1	Deviant 8.0
280.877	1	Deviant 6.0
289.431	1	Deviant 5.0
300.838	1	Deviant 8.0
309.392	1	Catch - Catch
320.798	1	Deviant 9.0
333.63	1	Deviant 6.0
347.888	1	Deviant 4.0
357.868	1	Catch - Catch
