onset	duration	Condition Name
28.515	1	Deviant 8.0
38.495	1	Deviant 5.0
49.901	1	Catch - Catch
64.159	1	Deviant 3.0
72.714	1	Deviant 8.0
85.545	1	Deviant 6.0
95.526	1	Catch - Catch
104.08	1	Deviant 9.0
115.486	1	Deviant 12.0
129.744	1	Catch - Catch
144.002	1	Deviant 6.0
153.982	1	Deviant 5.0
166.814	1	Deviant 4.0
178.22	1	Catch - Catch
186.774	1	Deviant 9.0
196.755	1	Deviant 4.0
208.161	1	Catch - Catch
220.993	1	Deviant 3.0
235.25	1	Deviant 6.0
243.805	1	Deviant 8.0
256.637	1	Catch - Catch
266.617	1	Deviant 9.0
278.023	1	Deviant 5.0
292.281	1	Deviant 4.0
300.835	1	Catch - Catch
315.093	1	Deviant 6.0
327.925	1	Deviant 12.0
339.331	1	Catch - Catch
347.885	1	Deviant 12.0
357.866	1	Deviant 3.0
