onset	duration	Condition Name
28.516	1	Deviant 3.0
42.774	1	Catch - Catch
54.18	1	Deviant 9.0
64.16	1	Deviant 5.0
72.715	1	Catch - Catch
82.695	1	Deviant 3.0
96.953	1	Deviant 12.0
105.507	1	Catch - Catch
116.914	1	Deviant 4.0
129.746	1	Deviant 6.0
142.578	1	Deviant 12.0
151.132	1	Catch - Catch
162.538	1	Deviant 9.0
176.796	1	Deviant 6.0
186.776	1	Deviant 8.0
198.183	1	Deviant 3.0
212.44	1	Deviant 4.0
225.272	1	Catch - Catch
233.827	1	Deviant 5.0
243.807	1	Deviant 12.0
256.639	1	Catch - Catch
265.194	1	Deviant 8.0
275.174	1	Deviant 6.0
289.432	1	Deviant 5.0
300.838	1	Deviant 8.0
312.244	1	Catch - Catch
325.076	1	Deviant 9.0
339.334	1	Deviant 6.0
349.314	1	Deviant 4.0
357.869	1	Catch - Catch
