onset	duration	Condition Name
28.515	1	Deviant 3.0
37.07	1	Catch - Catch
47.05	1	Deviant 9.0
61.308	1	Deviant 5.0
72.714	1	Catch - Catch
81.269	1	Deviant 3.0
95.526	1	Deviant 12.0
105.507	1	Catch - Catch
118.339	1	Deviant 4.0
129.745	1	Deviant 6.0
139.725	1	Deviant 12.0
148.28	1	Catch - Catch
162.537	1	Deviant 9.0
175.369	1	Deviant 6.0
186.775	1	Deviant 8.0
198.181	1	Deviant 3.0
208.162	1	Deviant 4.0
216.716	1	Catch - Catch
230.974	1	Deviant 5.0
243.806	1	Deviant 12.0
252.361	1	Catch - Catch
265.192	1	Deviant 8.0
276.599	1	Deviant 6.0
286.579	1	Deviant 5.0
300.837	1	Deviant 8.0
315.094	1	Catch - Catch
325.075	1	Deviant 9.0
336.481	1	Deviant 6.0
345.035	1	Deviant 4.0
357.867	1	Catch - Catch
