onset	duration	Condition Name
24.238	1	Deviant 3.0
38.496	1	Catch - Catch
51.327	1	Deviant 9.0
62.733	1	Deviant 5.0
72.714	1	Catch - Catch
84.12	1	Deviant 3.0
98.377	1	Deviant 12.0
111.209	1	Catch - Catch
121.19	1	Deviant 4.0
129.744	1	Deviant 6.0
144.002	1	Deviant 12.0
156.834	1	Catch - Catch
166.814	1	Deviant 9.0
175.369	1	Deviant 6.0
186.775	1	Deviant 8.0
199.606	1	Deviant 3.0
211.013	1	Deviant 4.0
219.567	1	Catch - Catch
233.825	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
265.191	1	Deviant 8.0
279.449	1	Deviant 6.0
288.004	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
319.37	1	Deviant 9.0
330.776	1	Deviant 6.0
343.608	1	Deviant 4.0
357.866	1	Catch - Catch
