onset	duration	Condition Name
25.663	1	Deviant 8.0
34.218	1	Deviant 5.0
47.05	1	Catch - Catch
58.456	1	Deviant 3.0
72.713	1	Deviant 8.0
85.545	1	Deviant 6.0
94.1	1	Catch - Catch
108.357	1	Deviant 9.0
118.338	1	Deviant 12.0
129.744	1	Catch - Catch
138.298	1	Deviant 6.0
151.13	1	Deviant 5.0
162.536	1	Deviant 4.0
176.794	1	Catch - Catch
186.774	1	Deviant 9.0
201.032	1	Deviant 4.0
213.864	1	Catch - Catch
223.844	1	Deviant 3.0
232.398	1	Deviant 6.0
243.805	1	Deviant 8.0
256.636	1	Catch - Catch
268.042	1	Deviant 9.0
278.023	1	Deviant 5.0
286.577	1	Deviant 4.0
300.835	1	Catch - Catch
309.39	1	Deviant 6.0
322.221	1	Deviant 12.0
333.627	1	Catch - Catch
347.885	1	Deviant 12.0
357.865	1	Deviant 3.0
