onset	duration	Condition Name
28.515	1	Deviant 8.0
39.921	1	Deviant 5.0
48.476	1	Catch - Catch
62.733	1	Deviant 3.0
72.714	1	Deviant 8.0
84.12	1	Deviant 6.0
96.952	1	Catch - Catch
111.209	1	Deviant 9.0
119.764	1	Deviant 12.0
129.744	1	Catch - Catch
141.15	1	Deviant 6.0
151.131	1	Deviant 5.0
165.388	1	Deviant 4.0
173.943	1	Catch - Catch
186.775	1	Deviant 9.0
198.181	1	Deviant 4.0
208.161	1	Catch - Catch
216.716	1	Deviant 3.0
229.547	1	Deviant 6.0
243.805	1	Deviant 8.0
252.36	1	Catch - Catch
265.191	1	Deviant 9.0
275.172	1	Deviant 5.0
286.578	1	Deviant 4.0
300.835	1	Catch - Catch
310.816	1	Deviant 6.0
325.073	1	Deviant 12.0
333.628	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0
