onset	duration	Condition Name
28.515	1	Deviant 3.0
39.921	1	Catch - Catch
54.179	1	Deviant 9.0
64.159	1	Deviant 5.0
72.714	1	Catch - Catch
82.694	1	Deviant 3.0
96.951	1	Deviant 12.0
108.358	1	Catch - Catch
116.912	1	Deviant 4.0
129.744	1	Deviant 6.0
142.576	1	Deviant 12.0
153.982	1	Catch - Catch
168.239	1	Deviant 9.0
178.22	1	Deviant 6.0
186.774	1	Deviant 8.0
201.032	1	Deviant 3.0
209.587	1	Deviant 4.0
219.567	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
262.34	1	Deviant 8.0
273.746	1	Deviant 6.0
286.578	1	Deviant 5.0
300.835	1	Deviant 8.0
313.667	1	Catch - Catch
322.222	1	Deviant 9.0
332.202	1	Deviant 6.0
346.46	1	Deviant 4.0
357.866	1	Catch - Catch
