onset	duration	Condition Name
29.941	1	Deviant 8.0
38.496	1	Deviant 5.0
51.327	1	Catch - Catch
62.733	1	Deviant 3.0
72.714	1	Deviant 8.0
81.268	1	Deviant 6.0
91.249	1	Catch - Catch
104.081	1	Deviant 9.0
115.487	1	Deviant 12.0
129.744	1	Catch - Catch
138.299	1	Deviant 6.0
152.556	1	Deviant 5.0
163.962	1	Deviant 4.0
176.794	1	Catch - Catch
186.775	1	Deviant 9.0
199.606	1	Deviant 4.0
211.029	1	Catch - Catch
219.584	1	Deviant 3.0
229.564	1	Deviant 6.0
243.822	1	Deviant 8.0
252.376	1	Catch - Catch
266.634	1	Deviant 9.0
279.466	1	Deviant 5.0
289.446	1	Deviant 4.0
300.852	1	Catch - Catch
315.11	1	Deviant 6.0
325.09	1	Deviant 12.0
336.496	1	Catch - Catch
345.051	1	Deviant 12.0
357.882	1	Deviant 3.0
