onset	duration	Condition Name
25.664	1	Deviant 3.0
37.07	1	Catch - Catch
49.902	1	Deviant 9.0
58.456	1	Deviant 5.0
72.714	1	Catch - Catch
86.971	1	Deviant 3.0
95.526	1	Deviant 12.0
106.932	1	Catch - Catch
119.764	1	Deviant 4.0
129.744	1	Deviant 6.0
139.724	1	Deviant 12.0
148.279	1	Catch - Catch
162.537	1	Deviant 9.0
175.368	1	Deviant 6.0
186.775	1	Deviant 8.0
199.606	1	Deviant 3.0
208.161	1	Deviant 4.0
222.419	1	Catch - Catch
233.825	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
265.191	1	Deviant 8.0
278.023	1	Deviant 6.0
292.281	1	Deviant 5.0
300.835	1	Deviant 8.0
313.667	1	Catch - Catch
323.648	1	Deviant 9.0
335.054	1	Deviant 6.0
349.311	1	Deviant 4.0
357.866	1	Catch - Catch
