onset	duration	Condition Name
25.664	1	Deviant 3.0
39.921	1	Catch - Catch
48.476	1	Deviant 9.0
59.882	1	Deviant 5.0
72.714	1	Catch - Catch
84.12	1	Deviant 3.0
94.1	1	Deviant 12.0
102.655	1	Catch - Catch
115.487	1	Deviant 4.0
129.744	1	Deviant 6.0
141.15	1	Deviant 12.0
153.982	1	Catch - Catch
162.537	1	Deviant 9.0
172.517	1	Deviant 6.0
186.775	1	Deviant 8.0
195.329	1	Deviant 3.0
208.161	1	Deviant 4.0
218.141	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
268.043	1	Deviant 8.0
279.449	1	Deviant 6.0
288.004	1	Deviant 5.0
300.836	1	Deviant 8.0
309.39	1	Catch - Catch
322.222	1	Deviant 9.0
333.628	1	Deviant 6.0
343.608	1	Deviant 4.0
357.866	1	Catch - Catch
