onset	duration	Condition Name
27.089	1	Deviant 3.0
39.921	1	Catch - Catch
49.902	1	Deviant 9.0
64.159	1	Deviant 5.0
72.714	1	Catch - Catch
85.546	1	Deviant 3.0
96.952	1	Deviant 12.0
105.506	1	Catch - Catch
119.764	1	Deviant 4.0
129.744	1	Deviant 6.0
139.724	1	Deviant 12.0
148.279	1	Catch - Catch
161.111	1	Deviant 9.0
175.368	1	Deviant 6.0
186.775	1	Deviant 8.0
195.329	1	Deviant 3.0
205.309	1	Deviant 4.0
219.567	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
252.36	1	Catch - Catch
266.617	1	Deviant 8.0
279.449	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
310.816	1	Catch - Catch
322.222	1	Deviant 9.0
335.054	1	Deviant 6.0
349.311	1	Deviant 4.0
357.866	1	Catch - Catch
