onset	duration	Condition Name
29.941	1	Deviant 3.0
38.496	1	Catch - Catch
48.476	1	Deviant 9.0
61.308	1	Deviant 5.0
72.714	1	Catch - Catch
82.695	1	Deviant 3.0
95.526	1	Deviant 12.0
104.081	1	Catch - Catch
118.339	1	Deviant 4.0
129.745	1	Deviant 6.0
141.151	1	Deviant 12.0
151.131	1	Catch - Catch
159.686	1	Deviant 9.0
172.517	1	Deviant 6.0
186.775	1	Deviant 8.0
199.607	1	Deviant 3.0
209.587	1	Deviant 4.0
223.845	1	Catch - Catch
235.251	1	Deviant 5.0
243.805	1	Deviant 12.0
256.637	1	Catch - Catch
268.043	1	Deviant 8.0
282.301	1	Deviant 6.0
290.856	1	Deviant 5.0
300.836	1	Deviant 8.0
309.39	1	Catch - Catch
322.222	1	Deviant 9.0
332.203	1	Deviant 6.0
346.46	1	Deviant 4.0
357.866	1	Catch - Catch
