onset	duration	Condition Name
27.089	1	Deviant 3.0
39.921	1	Catch - Catch
49.901	1	Deviant 9.0
58.456	1	Deviant 5.0
72.714	1	Catch - Catch
86.971	1	Deviant 3.0
98.377	1	Deviant 12.0
111.209	1	Catch - Catch
121.189	1	Deviant 4.0
129.744	1	Deviant 6.0
141.15	1	Deviant 12.0
155.408	1	Catch - Catch
168.239	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
198.18	1	Deviant 3.0
212.438	1	Deviant 4.0
222.418	1	Catch - Catch
235.25	1	Deviant 5.0
243.805	1	Deviant 12.0
255.211	1	Catch - Catch
265.191	1	Deviant 8.0
278.023	1	Deviant 6.0
292.281	1	Deviant 5.0
300.835	1	Deviant 8.0
315.093	1	Catch - Catch
326.499	1	Deviant 9.0
336.479	1	Deviant 6.0
345.034	1	Deviant 4.0
357.866	1	Catch - Catch
