onset	duration	Condition Name
25.664	1	Deviant 3.0
39.921	1	Catch - Catch
48.476	1	Deviant 9.0
59.882	1	Deviant 5.0
72.714	1	Catch - Catch
85.545	1	Deviant 3.0
95.526	1	Deviant 12.0
109.783	1	Catch - Catch
121.189	1	Deviant 4.0
129.744	1	Deviant 6.0
138.299	1	Deviant 12.0
149.705	1	Catch - Catch
162.537	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
196.755	1	Deviant 3.0
205.309	1	Deviant 4.0
218.141	1	Catch - Catch
229.547	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
262.34	1	Deviant 8.0
276.597	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
310.816	1	Catch - Catch
319.37	1	Deviant 9.0
332.202	1	Deviant 6.0
343.608	1	Deviant 4.0
357.866	1	Catch - Catch
