onset	duration	Condition Name
25.664	1	Deviant 3.0
37.07	1	Catch - Catch
49.902	1	Deviant 9.0
58.456	1	Deviant 5.0
72.714	1	Catch - Catch
86.972	1	Deviant 3.0
96.952	1	Deviant 12.0
109.784	1	Catch - Catch
118.338	1	Deviant 4.0
129.744	1	Deviant 6.0
138.299	1	Deviant 12.0
152.557	1	Catch - Catch
165.388	1	Deviant 9.0
175.369	1	Deviant 6.0
186.775	1	Deviant 8.0
198.181	1	Deviant 3.0
212.439	1	Deviant 4.0
225.27	1	Catch - Catch
235.251	1	Deviant 5.0
243.805	1	Deviant 12.0
258.063	1	Catch - Catch
268.043	1	Deviant 8.0
276.598	1	Deviant 6.0
289.43	1	Deviant 5.0
300.836	1	Deviant 8.0
310.816	1	Catch - Catch
322.222	1	Deviant 9.0
330.777	1	Deviant 6.0
343.608	1	Deviant 4.0
357.866	1	Catch - Catch
