onset	duration	Condition Name
24.238	1	Deviant 3.0
37.07	1	Catch - Catch
47.05	1	Deviant 9.0
61.308	1	Deviant 5.0
72.714	1	Catch - Catch
85.546	1	Deviant 3.0
96.952	1	Deviant 12.0
105.506	1	Catch - Catch
115.487	1	Deviant 4.0
129.744	1	Deviant 6.0
142.576	1	Deviant 12.0
151.131	1	Catch - Catch
162.537	1	Deviant 9.0
176.794	1	Deviant 6.0
186.775	1	Deviant 8.0
196.755	1	Deviant 3.0
211.013	1	Deviant 4.0
219.567	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
252.36	1	Catch - Catch
262.34	1	Deviant 8.0
275.172	1	Deviant 6.0
286.578	1	Deviant 5.0
300.836	1	Deviant 8.0
312.242	1	Catch - Catch
325.073	1	Deviant 9.0
333.628	1	Deviant 6.0
343.608	1	Deviant 4.0
357.866	1	Catch - Catch
