onset	duration	Condition Name
25.664	1	Deviant 3.0
37.07	1	Catch - Catch
51.327	1	Deviant 9.0
59.882	1	Deviant 5.0
72.714	1	Catch - Catch
81.268	1	Deviant 3.0
91.249	1	Deviant 12.0
104.08	1	Catch - Catch
115.487	1	Deviant 4.0
129.744	1	Deviant 6.0
144.002	1	Deviant 12.0
152.556	1	Catch - Catch
165.388	1	Deviant 9.0
175.369	1	Deviant 6.0
186.775	1	Deviant 8.0
201.032	1	Deviant 3.0
213.864	1	Deviant 4.0
225.27	1	Catch - Catch
235.25	1	Deviant 5.0
243.805	1	Deviant 12.0
258.063	1	Catch - Catch
268.043	1	Deviant 8.0
279.449	1	Deviant 6.0
288.004	1	Deviant 5.0
300.835	1	Deviant 8.0
312.241	1	Catch - Catch
325.073	1	Deviant 9.0
339.331	1	Deviant 6.0
347.885	1	Deviant 4.0
357.866	1	Catch - Catch
