onset	duration	Condition Name
25.664	1	Deviant 8.0
38.496	1	Deviant 5.0
47.05	1	Catch - Catch
61.308	1	Deviant 3.0
72.714	1	Deviant 8.0
81.268	1	Deviant 6.0
95.526	1	Catch - Catch
106.932	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
144.002	1	Deviant 6.0
155.408	1	Deviant 5.0
168.24	1	Deviant 4.0
176.794	1	Catch - Catch
186.775	1	Deviant 9.0
198.181	1	Deviant 4.0
211.013	1	Catch - Catch
225.27	1	Deviant 3.0
235.251	1	Deviant 6.0
243.805	1	Deviant 8.0
255.211	1	Catch - Catch
263.766	1	Deviant 9.0
273.746	1	Deviant 5.0
288.004	1	Deviant 4.0
300.852	1	Catch - Catch
312.258	1	Deviant 6.0
320.813	1	Deviant 12.0
333.645	1	Catch - Catch
347.902	1	Deviant 12.0
357.883	1	Deviant 3.0
