onset	duration	Condition Name
25.664	1	Deviant 3.0
37.07	1	Catch - Catch
49.902	1	Deviant 9.0
64.159	1	Deviant 5.0
72.714	1	Catch - Catch
82.694	1	Deviant 3.0
94.1	1	Deviant 12.0
108.358	1	Catch - Catch
121.19	1	Deviant 4.0
129.744	1	Deviant 6.0
141.15	1	Deviant 12.0
151.13	1	Catch - Catch
163.962	1	Deviant 9.0
178.22	1	Deviant 6.0
186.774	1	Deviant 8.0
201.032	1	Deviant 3.0
209.587	1	Deviant 4.0
222.419	1	Catch - Catch
233.825	1	Deviant 5.0
243.805	1	Deviant 12.0
256.637	1	Catch - Catch
265.191	1	Deviant 8.0
279.449	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
313.667	1	Catch - Catch
327.925	1	Deviant 9.0
339.331	1	Deviant 6.0
347.885	1	Deviant 4.0
357.866	1	Catch - Catch
