onset	duration	Condition Name
25.663	1	Deviant 3.0
34.218	1	Catch - Catch
45.624	1	Deviant 9.0
58.456	1	Deviant 5.0
72.713	1	Catch - Catch
84.119	1	Deviant 3.0
98.377	1	Deviant 12.0
106.932	1	Catch - Catch
119.763	1	Deviant 4.0
129.744	1	Deviant 6.0
144.001	1	Deviant 12.0
156.833	1	Catch - Catch
165.388	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
196.755	1	Deviant 3.0
205.309	1	Deviant 4.0
218.141	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
256.636	1	Catch - Catch
265.208	1	Deviant 8.0
276.614	1	Deviant 6.0
286.594	1	Deviant 5.0
300.852	1	Deviant 8.0
313.683	1	Catch - Catch
325.09	1	Deviant 9.0
335.07	1	Deviant 6.0
343.624	1	Deviant 4.0
357.882	1	Catch - Catch
